lat,lon,name,comid
42.485,-71.1208,Abetjona River,5866357
42.4822,-71.1189,Abetjona River,5866357
42.47,-71.125,Abetjona River,5866357
41.8581,-87.8626,Addison Creek,14785903
41.8528,-87.857,Addison Creek,14785903
41.8473,-87.8551,Addison Creek,14785903
29.9362,-82.1115,Alligator Creek,2161770
29.9366,-82.1145,Alligator Creek,2161770
29.9347,-82.1272,Alligator Creek,2161770
29.9289,-82.1342,Alligator Creek,2161770
40.1254,-82.9423,Alum Creek,5213235
40.0098,-82.935,Alum Creek,5213395
39.9573,-82.9431,Alum Creek,5217097
39.8888,-82.9153,Alum Creek,5216523
34.8144,-92.9969,Alum Fork Saline River,21919719
34.8138,-92.9846,Alum Fork Saline River,21919725
44.05,-123.1626,Amazon Creek,23763275
44.0498,-123.1731,Amazon Creek,23763275
44.052,-123.1869,Amazon Creek,23763273
44.0602,-123.192,Amazon Creek,23763273
44.0703,-123.2011,Amazon Creek,23763269
44.0123,-123.0776,Amazon Creek,23763277
44.0245,-123.0824,Amazon Creek,23763277
44.0435,-123.1035,Amazon Creek,23763275
44.0474,-123.1385,Amazon Creek,23763275
44.063,-123.2004,Amazon Creek Diversion Channel,23765879
44.0725,-123.2084,Amazon Creek Diversion Channel,23765879
30.9453,-90.8594,Amite River,18985524
30.8883,-90.8475,Amite River,18985872
30.7363,-90.8418,Amite River,18987174
30.5349,-90.9807,Amite River,18987222
30.4641,-90.9904,Amite River,18990226
31.0988,-90.7194,Amite River,18983026
44.1844,-71.9456,Ammonoosuc River,4594371
44.1542,-72.0369,Ammonoosuc River,4595087
44.6153,-71.2192,Androscoggin River,19334603
44.5058,-71.1578,Androscoggin River,19334621
44.5512,-70.5434,Androscoggin River,6710311
44.4609,-70.3045,Androscoggin River,6712397
44.5025,-70.2499,Androscoggin River,6710307
44.5009,-70.222,Androscoggin River,6710305
44.4785,-70.2009,Androscoggin River,6712377
44.3421,-70.189,Androscoggin River,6716115
44.256,-70.1798,Androscoggin River,6712559
44.1532,-70.2101,Androscoggin River,6712573
44.1363,-70.2019,Androscoggin River,6712585
43.9942,-70.0635,Androscoggin River,6714591
44.0723,-70.2081,Androscoggin River,6712623
43.9569,-70.0253,Androscoggin River,6714629
39.7264,-77.594,Antietam Creek,5891186
39.7165,-77.6075,Antietam Creek,5891210
39.6882,-77.6391,Antietam Creek,5891286
39.6426,-77.6836,Antietam Creek,5891416
39.6109,-77.7125,Antietam Creek,5891522
39.5533,-77.7006,Antietam Creek,5891644
39.5177,-77.7018,Antietam Creek,5891696
39.4539,-77.7329,Antietam Creek,5894726
39.417,-77.7423,Antietam Creek,5894392
42.4703,-90.0901,Apple River,13358718
42.3181,-90.2437,Apple River,13361468
42.2528,-90.286,Apple River,13361516
35.2272,-108.2136,Aspen Creek,17771415
42.4403,-71.4322,Assabet River,6772205
42.4419,-71.4269,Assabet River,6772205
42.4533,-71.4111,Assabet River,6773057
42.4278,-71.4697,Assabet River,6772217
42.4308,-71.4672,Assabet River,6772217
42.4308,-71.4542,Assabet River,6772217
42.4317,-71.4556,Assabet River,6772217
42.2794,-71.6386,Assabet River,6772971
42.2878,-71.6431,Assabet River,6772971
42.3047,-71.6285,Assabet River,6772949
31.0431,-91.7236,Atchafalaya River,19406836
30.9793,-91.8001,Atchafalaya River,15169567
30.6834,-91.7372,Atchafalaya River,15169599
29.9008,-91.4523,Atchafalaya River,15181957
29.7573,-91.2966,Atchafalaya River,15182053
29.6955,-91.2133,Atchafalaya River,15182073
42.9771,-89.5394,Badger Mill Creek,13425023
42.9729,-89.543,Badger Mill Creek,13425023
42.9646,-89.5486,Badger Mill Creek,13425037
42.9592,-89.5589,Badger Mill Creek,13425037
31.8561,-90.3758,Bahala Creek,15736041
31.8461,-90.37,Bahala Creek,15736083
31.8306,-90.3611,Bahala Creek,15736109
31.7961,-90.3303,Bahala Creek,15736277
31.7858,-90.3239,Bahala Creek,15736331
32.3094,-90.3183,Bakers Creek,19185216
32.3078,-90.3258,Bakers Creek,19185246
32.3081,-90.3275,Bakers Creek,19185246
32.3089,-90.3414,Bakers Creek,19185246
32.3096,-90.32,Bakers Creek,19185216
32.3079,-90.3259,Bakers Creek,19185246
41.3496,-81.8258,Baldwin Creek,15594723
41.3559,-81.8324,Baldwin Creek,15594723
35.0384,-83.459,Ball Creek,19736357
35.0459,-83.4423,Ball Creek,19736357
35.055,-83.4331,Ball Creek,19736307
35.0566,-83.4314,Ball Creek,19736307
43.0917,-73.4664,Batten Kill,22288035
43.0908,-73.4958,Batten Kill,22288035
43.103,-73.255,Batten Kill,22288303
43.0993,-73.303,Batten Kill,22288027
43.0911,-73.3456,Batten Kill,22288055
43.1444,-73.3649,Batten Kill,22288297
43.1451,-73.3978,Batten Kill,22287997
43.1087,-73.4218,Batten Kill,22288025
43.0987,-73.4581,Batten Kill,22288035
43.0848,-73.4957,Batten Kill,22288311
43.0987,-73.5251,Batten Kill,22288023
43.1159,-73.5682,Batten Kill,22288441
31.2731,-86.4869,Bay Branch,893809
30.953,-93.3529,Bayou Anacoco,8330660
30.9045,-93.3961,Bayou Anacoco,8330364
30.8705,-93.5107,Bayou Anacoco,8330672
30.8691,-93.5577,Bayou Anacoco,8330776
33.0071,-91.6271,Bayou Bartholomew,19473729
32.9904,-91.6557,Bayou Bartholomew,19474395
32.8724,-91.8679,Bayou Bartholomew,19474485
32.7228,-92.0633,Bayou Bartholomew,19474687
43.9465,-71.7272,Bear Brook,6729695
39.6553,-105.2944,Bear Creek,188171
39.653,-105.1958,Bear Creek,188173
32.6047,-90.0603,Bear Creek,19180568
32.6153,-90.0678,Bear Creek,19180568
32.64,-90.0722,Bear Creek,19180408
32.6756,-90.0894,Bear Creek,19181410
42.5167,-71.5233,Beaver Brook,6745218
42.5256,-71.5189,Beaver Brook,6745576
33.2947,-89.7028,Big Black River,19222111
33.1942,-89.7708,Big Black River,19222549
33.0625,-89.8333,Big Black River,19223395
32.6033,-90.3639,Big Black River,19180610
32.3475,-90.6967,Big Black River,19187384
39.9383,-85.3844,Big Blue River,18459820
39.5292,-85.7819,Big Blue River,18460180
39.3551,-85.9839,Big Blue River,18461158
41.1375,-97.4262,Big Blue River,18828345
41.1025,-97.3076,Big Blue River,18828505
41.072,-97.196,Big Blue River,18828677
41.0467,-97.1956,Big Blue River,18828807
40.9743,-97.1517,Big Blue River,18831595
40.7764,-97.0448,Big Blue River,18814690
40.74,-97.0251,Big Blue River,18814742
40.7106,-96.9969,Big Blue River,18819802
40.6282,-96.9711,Big Blue River,18819820
40.3919,-96.904,Big Blue River,18821794
40.25,-96.7503,Big Blue River,18822526
40.1973,-96.6637,Big Blue River,18822170
40.1392,-96.6546,Big Blue River,18822252
40.0449,-96.5865,Big Blue River,2275923
40.0011,-96.6017,Big Blue River,2275959
39.9579,-96.61,Big Blue River,2276773
39.8616,-96.6558,Big Blue River,2277309
39.8422,-96.6611,Big Blue River,2277309
39.7694,-96.6854,Big Blue River,2277349
39.6889,-96.642,Big Blue River,2277543
39.6387,-96.5822,Big Blue River,2277533
40.9033,-97.1118,Big Blue River,18831981
40.8725,-97.0744,Big Blue River,18814560
40.2218,-96.69,Big Blue River,18822118
40.0528,-96.5886,Big Blue River,2276029
40.6231,-96.9756,Big Blue River,18819832
40.4811,-96.9435,Big Blue River,18821672
31.5702,-92.5262,Big Creek,19376808
31.5243,-92.3617,Big Creek,19376630
31.5349,-92.2979,Big Creek,19376976
39.6142,-82.9658,Big Darby Creek,5217073
40.2278,-83.5217,Big Darby Creek,5214693
39.7006,-83.1102,Big Darby Creek,5218143
40.3885,-85.2585,Big Lick Creek,18503965
40.408,-85.3366,Big Lick Creek,18503965
40.4314,-85.3703,Big Lick Creek,18503965
40.4297,-85.3893,Big Lick Creek,18503857
40.4046,-85.4057,Big Lick Creek,18503863
40.377,-85.4478,Big Lick Creek,18503883
42.0959,-109.4577,Big Sandy River,18302490
42.0102,-109.5832,Big Sandy River,18302776
41.9475,-109.6882,Big Sandy River,18303964
41.851,-109.7834,Big Sandy River,18304132
42.5713,-109.2835,Big Sandy River,18300114
42.5565,-109.3636,Big Sandy River,18299858
42.4327,-109.4653,Big Sandy River,18300740
42.6767,-109.2713,Big Sandy River,18300086
42.6567,-109.2676,Big Sandy River,18300104
30.6294,-89.1689,Biloxi River,18069536
30.5989,-89.1828,Biloxi River,18069794
30.5583,-89.1194,Biloxi River,18070104
30.4978,-89.0461,Biloxi River,18075686
31.0519,-89.2006,Black Creek,18105054
30.9936,-89.0508,Black Creek,18107918
30.8533,-88.9139,Black Creek,18107208
30.78,-88.7628,Black Creek,18107212
43.1154,-89.6643,Black Earth Creek,13633821
43.1172,-89.6786,Black Earth Creek,13633821
43.1172,-89.69,Black Earth Creek,13633111
43.1807,-89.8043,Black Earth Creek,13632901
43.1767,-89.8189,Black Earth Creek,13632901
43.1644,-89.8433,Black Earth Creek,13632901
43.1629,-89.863,Black Earth Creek,13632901
36.254,-90.9701,Black River,7548159
36.1522,-91.0542,Black River,7549185
43.677,-75.3618,Black River,15515060
43.8229,-75.4633,Black River,15514894
43.894,-75.5046,Black River,15514792
43.9364,-75.5681,Black River,15514714
44.0209,-75.6508,Black River,15509340
44.0366,-75.7206,Black River,15508990
44.0037,-75.8063,Black River,15509366
43.9856,-75.9246,Black River,15514728
44.0009,-75.9816,Black River,15509068
41.0316,-110.5793,Blacks Fork,3197078
41.1294,-110.5261,Blacks Fork,3196354
41.1851,-110.4738,Blacks Fork,3196154
31.5433,-90.4594,Bogue Chitto,15684805
31.54,-90.4578,Bogue Chitto,15684805
31.5228,-90.4567,Bogue Chitto,15684827
31.5169,-90.4572,Bogue Chitto,15684837
31.4936,-90.4439,Bogue Chitto,15686521
31.4839,-90.4386,Bogue Chitto,15686521
31.4661,-90.4394,Bogue Chitto,15686543
31.4475,-90.4483,Bogue Chitto,15686607
31.4378,-90.4464,Bogue Chitto,15686679
31.3975,-90.4517,Bogue Chitto,15686829
31.3367,-90.4344,Bogue Chitto,15687055
31.3244,-90.4206,Bogue Chitto,15687181
31.2975,-90.395,Bogue Chitto,15687285
31.2069,-90.3053,Bogue Chitto,15687539
31.1767,-90.2794,Bogue Chitto,15687631
31.1169,-90.2514,Bogue Chitto,15688363
30.9217,-90.2044,Bogue Chitto,903440008
